date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:31	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202019%2001:39:28%20GMT	http://alternativasweb.tk/clientes/eatin	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin.0.delayed	(from )
20:39:31	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202019%2001:39:29%20GMT	http://alternativasweb.tk/robots.txt		(from )
20:39:32	16237/16237	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202019%2001:39:28%20GMT	http://alternativasweb.tk/clientes/eatin/	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/index.html	(from )
20:39:32	29295/29295	---M-Z	200	added ('OK')	text/css	etag:%22726f-591cd3a19d588-gzip%22	http://alternativasweb.tk/clientes/eatin/wp-includes/css/dist/block-library/style.min.css	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/wp-includes/css/dist/block-library/style.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:32	1495/1495	---M-Z	200	added ('OK')	text/css	etag:%225d7-591cd3a19e528-gzip%22	http://alternativasweb.tk/clientes/eatin/wp-includes/css/dist/block-library/theme.min.css	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/wp-includes/css/dist/block-library/theme.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:33	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22695-591cd39f8150f-gzip%22	http://alternativasweb.tk/clientes/eatin/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/wp-content/plugins/contact-form-7/includes/css/styles.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:33	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225c6708e1-2606e%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/css/bootstrap.min.css	C:/DGT/EATIN/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/css/bootstrap.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:33	1658/1658	---M-Z	200	added ('OK')	text/css	etag:%2267a-591cd3a10bd72-gzip%22	http://alternativasweb.tk/clientes/eatin/wp-content/themes/eatin/theme/dist/css/blocks.min.css	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/wp-content/themes/eatin/theme/dist/css/blocks.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:34	213060/213060	---MCZ	200	added ('OK')	text/css	etag:%2234044-591fa35a17e69-gzip%22	http://alternativasweb.tk/clientes/eatin/wp-content/themes/eatin/theme/dist/css/styles.min.css	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/wp-content/themes/eatin/theme/dist/css/styles.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:34	28099/28099	---MCZ	200	added ('OK')	text/css	etag:W/%22588a1a58-6dc3%22	https://maxcdn.icons8.com/fonts/line-awesome/1.1/css/line-awesome-font-awesome.min.css	C:/DGT/EATIN/maxcdn.icons8.com/fonts/line-awesome/1.1/css/line-awesome-font-awesome.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:34	1767/1767	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad6-6e7%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.8/slick.css	C:/DGT/EATIN/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.8/slick.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:34	2306/2306	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad6-902%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.8/slick-theme.min.css	C:/DGT/EATIN/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.8/slick-theme.min.css	(from http://alternativasweb.tk/clientes/eatin/)
20:39:36	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-591cd3a237a3d-gzip%22	http://alternativasweb.tk/clientes/eatin/wp-includes/js/jquery/jquery-migrate.min.js	C:/DGT/EATIN/alternativasweb.tk/clientes/eatin/wp-includes/js/jquery/jquery-migrate.min.js	(from http://alternativasweb.tk/clientes/eatin/)
